Hash,Word,Count,AmazonPositive,AmazonNegative,IMDBPositive,IMDBNegative,YelpPositive,YelpNegative
0010c6d8214b2e0dbcce46f52cca3734,despite,12,2,-4,4,0,0,-2
001cbc059a402b3be7c99be558eaaf73,bed,2,0,-2,0,0,0,0
00450b43a0d0454ba90287fe8bfa5c1a,recognizes,2,0,-2,0,0,0,0
0054ed6794aa017150046b4669b40f03,coppolas,2,0,0,2,0,0,0
006058e01fa53e592224dd59bbeb8436,reheated,2,0,0,0,0,0,-2
006f87892f47ef9aa60fa5ed01a440fb,tomato,2,0,0,0,0,0,-2
007f5ee49a9477abe2a39c1b50d92f95,workingeating,2,0,0,0,0,0,-2
008c5926ca861023c1d2a36653fd88e2,whatever,14,2,0,2,-10,0,0
00a0e3d16a0a9444eefb68ef1e0e8a75,overall,32,6,0,6,-4,8,-8
00abeeeae7a8ed666043bbb83c6425e1,happen,6,0,0,2,-4,0,0
00cb7dc58e4d443da8a6e0b7e641f894,eclectic,2,0,0,0,0,2,0
00e680cec61bc4001d830e007ee74226,literally,14,0,-4,2,-2,0,-6
00ecf6d06f00c4bb29024057469a3f3d,concrete,2,2,0,0,0,0,0
00f030cb35784def2e29b3276412472a,tots,4,0,0,0,0,4,0
01183aacb5ab8e197acda4cfa4252cde,cancellation,2,2,0,0,0,0,0
0122b4c2c01ee1c698ecc309d2b8eb5a,upper,2,0,0,2,0,0,0
013730429601c72f01998fe061960a0f,characterisation,2,0,0,0,-2,0,0
0143c1e8e97da861c623ff508a441c54,salsa,6,0,0,0,0,4,-2
014a295b1dfe319948cb5866af8c8b4c,unlockable,2,0,0,2,0,0,0
014b9ddb4616aec662c78a878eb8c865,inexperience,2,0,0,0,-2,0,0
015f28b9df1bdd36427dd976fb73b29d,fire,7,5,0,2,0,0,0
0162cefc4952304026cb1f5dab2419d2,choice,11,5,-2,4,0,0,0
0165c8dff017880a6cfbca789aa12fdd,didnt,85,0,-15,6,-38,8,-18
01881896a850ab8ae8d3f52c0e27bf0e,charismatic,2,0,0,2,0,0,0
018e1711d3fc8456673b203dae6c6ff8,sitdown,2,0,0,0,0,2,0
018edf445f5c6adbcd8eedea2d38d39f,masterpiece,4,0,0,4,0,0,0
0195dffd2c99afdd693bc2e05fd12d8b,mexican,8,0,0,4,0,4,0
0196f6c4f97df3f48d570c23e46501ae,dos,2,0,0,0,0,2,0
01a9a73da72226fc32fe1ce5c899b46d,hitchcock,10,0,0,8,-2,0,0
01b6e20344b68835c5ed1ddedf20d531,to,1359,180,-239,262,-240,176,-262
01b922d867dfc910199b04faca436f37,communicate,2,0,-2,0,0,0,0
01bc6f8efa4202821e95f4fdf6298b30,clear,27,21,-4,2,0,0,0
01cdc81c1e961f04b2feed3ff48ae242,edinburgh,2,0,0,0,0,0,-2
01d5025d4b2efb5843ed430f331b87fc,gourmet,2,0,0,0,0,2,0
01e8e994a25119e847552ed16ee3b868,periodically,2,0,-2,0,0,0,0
02066a871117bd6e434e43259b64c5fd,anythinga,2,0,0,2,0,0,0
0218a4aa5df8642aed9e3e4c55d84a57,manages,2,0,0,2,0,0,0
0234feb1f99eb53a9af44bdedd8de3d5,companys,2,0,0,2,0,0,0
0239ad72d73544720c1efd6493d36ba5,organizational,2,2,0,0,0,0,0
02634eff3c24742057ecacbee91c4bbd,buttons,18,4,-14,0,0,0,0
02641a6848cacbd6797069443c57cb38,interested,6,0,-2,2,-2,0,0
0270b705ee76206d7730e7559f53ea31,mortified,2,0,0,0,0,0,-2
02750ea1b28f89d0fe707f30dbb849b9,littered,2,0,0,0,-2,0,0
02794e781b898030fa84265a9062acaa,patio,6,0,0,0,0,6,0
02829fb05c3076ec5a6caebd12477dec,cute,8,2,0,2,0,4,0
028dbbfa273d4b792baf487492f43a5d,pillow,2,0,0,0,-2,0,0
028f0749e1b6a005abdfb9a3975d8c32,colored,4,0,-2,2,0,0,0
02a048690ba283e399247f7fad7710d3,prefer,2,0,0,0,0,2,0
02a1b872de47268c813e94c41476f927,rings,2,0,0,0,0,2,0
02bd92faa38aaa6cc0ea75e59937a1ef,author,2,0,0,0,-2,0,0
02c905fff31bddd449a4083d3e0f20f7,sashimi,6,0,0,0,0,0,-6
02d1c93b5ec3b1174fa1bf0489f2e7d9,twists,2,0,0,0,-2,0,0
02dcf07e612efab4ae8d77daf5072fdc,hosting,2,0,0,0,-2,0,0
02ddbdca4c6dba0b46d9d823ed2b4b62,survivors,2,0,0,2,0,0,0
02f675376a7d1985287de020a5e9de37,tones,4,0,-4,0,0,0,0
031700427b70a87b0203a7d78a85c0da,smack,2,0,0,2,0,0,0
031755fb14a52b39f04ccafeb564be09,tiramisu,2,0,0,0,0,2,0
031ef6b7cb56413e10c50a1c121f26e4,garbo,2,0,0,2,0,0,0
0344adb607cb541118488284682da4dd,vegas,42,0,0,0,0,30,-12
035a29355ff4298742005ef1fb2edfad,helped,4,0,0,0,0,2,-2
03672bee7f58cd26136f083acaa24855,operate,4,2,-2,0,0,0,0
036bd7b74ec5fbe7e3190a542a2571a6,tremendous,6,4,0,2,0,0,0
03777265c49d4b156ff3df9cfe843675,catchy,2,0,0,2,0,0,0
037c70dbc1c812f6b2091688804d7b17,giovanni,2,0,0,2,0,0,0
038703c7230ae012e3c783ace1d09d64,works,112,98,-2,6,-4,0,-2
039099188bcf033b5e78396b82266359,latterday,2,0,0,0,-2,0,0
03a367e6308228621e9a4e353fae9f18,unrestrained,2,0,0,0,-2,0,0
03ab1da7bb2c35b03e31e0651454ae6d,southwest,2,0,0,0,0,2,0
03c7c0ace395d80182db07ae2c30f034,s,6,2,0,0,-2,2,0
03d59e663c1af9ac33a9949d1193505a,some,108,4,-10,30,-24,20,-20
03d810e18c3bc6218e3a8afaf5b58c16,tanks,2,0,0,0,-2,0,0
03d874291e0ded11b311c4ca89a17e65,innocence,2,0,0,2,0,0,0
03dc1df85a05865113893c1ff236efea,similarly,2,0,0,0,0,0,-2
03e13700e25563c0c0a8ffdb48dbbc19,kris,2,0,0,2,0,0,0
03f0356d2d1c334d3567c9d67818f5d0,fraction,2,2,0,0,0,0,0
04117d2d74f5331f3ee4955da27cca7a,quaint,2,0,0,0,0,2,0
0412a603f9edc889d3cdaab526cb8a02,dysfunctionhe,2,0,0,2,0,0,0
041375a8634f397e42c706ba0c50ecb4,entertaining,8,0,0,8,0,0,0
0421008445828ceb46f496700a5fa65e,poop,2,0,0,0,0,0,-2
0423fa423baf1ea8139f6662869faf2f,tight,2,2,0,0,0,0,0
